rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,decline_5d_pct,calm3_maxmin,burst3,grade
1,300442,润泽科技,2026-09-08,2026-09-08 11:15,63.9,0.76,5.32,3081047,579500,0.95,-1.48,2.02,3.74,B
2,000807,云铝股份,2026-09-08,2026-09-08 11:15,27.35,0.92,5.14,8406400,1636797,1.3,-1.0,1.89,3.34,B
3,300142,沃森生物,2026-09-08,2026-09-08 13:30,13.31,0.68,4.43,16141809,3647830,1.33,-4.11,2.26,5.3,A
4,600103,青山纸业,2026-09-08,2026-09-08 11:15,4.09,0.99,4.15,42030430,10129400,0.96,-6.68,2.83,2.05,A
5,601020,华钰矿业,2026-09-08,2026-09-08 11:15,22.86,0.84,3.93,2853700,725520,1.45,-2.87,7.46,1.2,B
6,600141,兴发集团,2026-09-08,2026-09-08 11:00,31.85,1.69,3.71,5621435,1517125,2.39,-2.51,3.98,1.73,B
7,300759,康龙化成,2026-09-08,2026-09-08 13:30,42.21,0.93,3.25,8886365,2737501,0.95,-3.15,2.79,4.79,A
8,603127,昭衍新药,2026-09-08,2026-09-08 13:30,43.43,1.24,2.89,4922017,1704300,1.16,-5.22,2.3,4.22,A
9,600096,云天化,2026-09-08,2026-09-08 11:00,31.5,0.83,2.86,5563251,1946600,2.12,-5.07,1.84,2.19,A
10,600500,中化国际,2026-09-08,2026-09-08 10:45,5.88,1.2,2.69,16231311,6030100,1.58,-1.61,3.61,1.22,B
11,000408,藏格矿业,2026-09-08,2026-09-08 11:15,76.46,0.42,2.44,976434,400500,1.16,-5.01,1.51,1.83,A
12,000960,锡业股份,2026-09-08,2026-09-08 11:15,34.69,0.46,2.32,2394310,1034000,1.07,-4.2,3.19,1.22,A
