rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,decline_5d_pct,calm3_maxmin,burst3,grade,strength,now_price,chase_pct,chase_warn,day_pct
1,600410,华胜天成,2026-09-10,2026-09-10 13:45,14.23,1.28,7.11,19558291,2750600,1.14,1.06,-1.73,4.02,13.17,B,★,14.02,-1.48,,-1.41
2,002015,协鑫能科,2026-09-10,2026-09-10 13:30,17.03,1.67,6.15,15881531,2581613,1.57,1.5,-3.75,2.36,3.87,A,★,17.18,0.88,,0.0
3,601069,西部黄金,2026-09-10,2026-09-10 11:00,29.8,0.78,4.72,2653900,562152,0.98,1.43,-2.16,2.16,3.29,B,★,30.1,1.01,,0.7
4,002487,大金重工,2026-09-10,2026-09-10 14:30,33.46,1.21,3.9,3230903,827900,1.65,1.5,-2.34,1.49,3.47,B,★,33.54,0.24,,2.98
5,600721,百花医药,2026-09-10,2026-09-10 14:15,11.53,1.23,3.76,3754400,997500,1.11,1.26,-2.12,2.92,1.98,B,★,11.4,-1.13,,-1.3
6,601162,天风证券,2026-09-10,2026-09-10 10:45,3.75,0.81,3.5,15394624,4395900,1.55,1.06,-2.11,3.67,1.57,B,★,3.77,0.53,,1.62
7,688012,中微公司,2026-09-10,2026-09-10 10:45,337.26,0.77,3.33,1167343,350864,0.82,0.99,-2.35,2.54,2.0,B,★,334.19,-0.91,,0.36
8,688603,天承科技,2026-09-10,2026-09-10 10:45,119.28,1.19,3.13,1711353,546197,1.25,1.34,-7.72,2.1,4.35,A,★,114.9,-3.67,,1.33
9,600233,圆通速递,2026-09-10,2026-09-10 13:45,17.36,0.99,3.0,2564300,853700,1.79,2.21,-1.23,2.93,2.47,B,★★,17.59,1.32,,
10,603019,中科曙光,2026-09-10,2026-09-10 10:45,82.71,0.73,2.93,1615190,550700,0.92,1.18,-2.28,3.23,1.39,B,★,82.35,-0.44,,-0.1
11,300803,指南针,2026-09-10,2026-09-10 10:45,85.56,0.65,2.89,1662985,575300,1.35,1.44,-1.66,4.76,1.01,B,★,84.72,-0.98,,0.57
12,300139,晓程科技,2026-09-10,2026-09-10 13:45,51.18,1.15,2.83,3400243,1203400,0.69,1.08,-2.93,1.89,3.67,B,★,50.6,-1.13,,-1.56
13,300903,科翔股份,2026-09-10,2026-09-10 14:45,88.23,0.14,2.79,860584,308900,1.43,1.45,-4.99,2.57,1.96,A,★,88.16,-0.08,,1.77
14,300033,同花顺,2026-09-10,2026-09-10 10:45,216.56,0.17,2.69,566900,210380,1.06,1.22,-1.38,5.17,1.0,B,★,215.8,-0.35,,-0.3
15,002859,洁美科技,2026-09-10,2026-09-10 10:45,62.56,0.74,2.58,1827100,707174,1.05,1.1,-3.35,1.07,2.66,A,★,61.4,-1.85,,-0.42
16,688388,嘉元科技,2026-09-10,2026-09-10 10:30,28.24,1.58,2.56,3971135,1552944,1.24,1.18,-2.74,3.54,1.22,B,★,27.6,-2.27,,1.1
17,300657,弘信电子,2026-09-10,2026-09-10 10:45,35.22,0.54,2.46,2361800,958200,1.13,1.48,-3.21,2.19,1.71,A,★,34.79,-1.22,,0.17
18,000636,风华高科,2026-09-10,2026-09-10 14:15,50.79,0.38,2.45,4642800,1891900,1.28,1.23,-1.82,1.41,2.04,B,★,50.9,0.22,,2.41
19,300846,首都在线,2026-09-10,2026-09-10 14:00,19.9,0.1,2.4,5964999,2488717,2.8,3.37,-2.12,3.22,4.41,B,★★★,19.71,-0.95,,
20,601728,XD中国电,2026-09-10,2026-09-10 13:30,6.19,0.32,2.4,7080800,2955000,1.18,1.46,-1.92,1.11,2.4,B,★,6.19,0.0,,1.14
21,300903,科翔股份,2026-09-10,2026-09-10 14:15,88.2,0.56,2.4,677600,281900,1.29,1.53,-4.99,2.13,1.69,A,★,88.16,-0.05,,
22,600460,士兰微,2026-09-10,2026-09-10 10:45,30.56,0.79,2.38,7495390,3150529,0.92,1.05,-3.07,1.21,2.21,A,★,30.24,-1.05,,-0.1
23,603773,沃格光电,2026-09-10,2026-09-10 14:15,87.6,1.06,2.34,649200,277200,0.98,0.97,-2.04,1.59,1.8,B,★,87.11,-0.56,,1.28
24,600030,中信证券,2026-09-10,2026-09-10 14:45,27.62,0.15,2.33,11490747,4937147,1.41,1.41,-1.9,2.92,3.76,B,★,27.6,-0.07,,0.99
25,600909,华安证券,2026-09-10,2026-09-10 14:30,8.08,0.25,2.31,3559400,1543286,0.96,0.99,-1.1,1.42,1.81,B,★,8.08,0.0,,0.12
26,688662,富信科技,2026-09-10,2026-09-10 14:15,86.25,0.3,2.25,1274067,566316,1.37,1.56,-1.87,3.03,3.74,B,★,87.84,1.84,,
27,000725,京东方Ａ,2026-09-10,2026-09-10 14:30,5.46,0.0,2.18,36934200,16926200,1.03,1.0,-2.8,2.71,1.35,B,★,5.46,0.0,,-1.62
28,000783,长江证券,2026-09-10,2026-09-10 14:45,9.0,0.11,2.15,6045521,2807200,1.11,1.1,-1.95,4.04,1.88,B,★,9.0,0.0,,-0.55
29,600367,红星发展,2026-09-10,2026-09-10 10:45,35.64,0.88,2.13,3056582,1436628,0.84,1.1,-9.19,1.61,1.76,A,★,35.09,-1.54,,0.29
30,601288,农业银行,2026-09-10,2026-09-10 14:00,6.89,0.0,2.12,9775305,4621301,1.26,1.16,-1.16,2.14,1.21,B,★,6.94,0.73,,1.91
31,688525,佰维存储,2026-09-10,2026-09-10 10:45,222.6,0.74,2.1,1269627,604701,0.98,1.2,-1.27,2.06,1.38,B,★,218.79,-1.71,,0.5
32,601069,西部黄金,2026-09-10,2026-09-10 13:45,30.35,1.1,2.09,1872000,895500,0.81,1.56,-2.16,1.5,2.16,B,★,30.1,-0.82,,
33,603236,移远通信,2026-09-10,2026-09-10 10:45,61.67,1.9,2.07,925076,446463,1.12,1.01,-2.41,1.67,1.61,B,★,60.62,-1.7,,-0.72
34,002156,通富微电,2026-09-10,2026-09-10 10:45,59.08,0.82,2.07,3761989,1820816,0.87,0.92,-1.98,2.13,1.32,B,★,58.34,-1.25,,-0.02
35,000776,广发证券,2026-09-10,2026-09-10 14:15,21.63,0.0,2.04,1837100,901800,1.06,1.0,-2.3,1.54,1.71,B,★,21.72,0.42,,0.37
