rank,code,name,date,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,decline_5d_pct,day_pct,calm3_maxmin,burst3,grade,strength,now_price,chase_pct,chase_warn
1,300666,江丰电子,2026-09-14,2026-09-14 14:45,237.47,0.92,5.04,1094316,220416,1.04,1.02,-3.67,2.88,1.6,5.04,A,★,237.1,-0.16,
2,300260,新莱应材,2026-09-14,2026-09-14 14:45,53.74,0.41,3.43,792500,219185,0.99,0.95,-6.28,2.9,1.87,3.43,A,★,53.55,-0.35,
3,301389,隆扬电子,2026-09-14,2026-09-14 11:15,58.15,1.43,3.19,681079,1600,0.7,0.97,-5.25,2.13,454.96,3.19,A,★,56.93,-2.1,
4,600162,香江控股,2026-09-14,2026-09-14 13:45,4.69,0.64,3.17,19919100,5083946,0.95,1.05,-7.8,1.74,2.52,3.17,A,★,4.72,0.64,
5,600707,彩虹股份,2026-09-14,2026-09-14 14:30,8.72,0.58,2.76,4977100,2163813,0.92,0.99,-2.52,2.12,1.38,2.76,B,★,8.69,-0.34,
6,002702,海欣食品,2026-09-14,2026-09-14 14:45,5.28,0.0,2.75,5070870,1923400,1.16,1.04,-12.16,-2.21,1.42,2.75,A,★,5.3,0.38,
7,601609,金田股份,2026-09-14,2026-09-14 14:45,13.1,0.15,2.73,2327700,809800,0.96,0.91,-3.91,2.74,1.93,2.73,A,★,13.14,0.31,
8,605179,一鸣食品,2026-09-14,2026-09-14 11:15,25.95,0.5,2.45,1398000,657488,1.17,1.19,-5.5,-0.93,1.62,2.45,A,★,25.68,-1.04,
9,600280,中央商场,2026-09-14,2026-09-14 14:45,3.23,0.0,2.43,3467400,1293100,2.39,2.42,-7.58,2.52,1.46,2.43,A,★★★,3.25,0.62,
10,300765,石药创新,2026-09-14,2026-09-14 14:00,43.42,0.3,2.17,988100,432547,0.79,0.97,-6.65,2.24,2.33,2.17,A,★,43.52,0.23,
11,300593,新雷能,2026-09-14,2026-09-14 14:45,31.04,0.06,2.16,714552,374100,0.98,0.95,-7.35,-4.0,1.23,2.16,A,★,31.0,-0.13,
