rank,code,name,date,grade,decline_5d_pct,day_pct,calm3_maxmin,burst3,bar_time,close,bar_change_pct,vol_ratio,signal_bar_vol,prev_bar_vol,ytd_vol_ratio,ytd_same,strength,now_price,chase_pct,chase_warn
1,600875,东方电气,2026-09-18,A,-4.46,1.71,2.18,4.41,2026-09-18 11:15,24.41,0.91,4.41,4926952,682900,0.78,1.03,★,24.42,0.04,
2,603618,杭电股份,2026-09-18,A,-5.11,2.25,2.31,3.9,2026-09-18 13:45,39.27,0.85,3.9,13194421,3358491,0.75,1.11,★,39.91,1.63,
3,002600,领益智造,2026-09-18,A,-4.81,0.88,1.73,3.72,2026-09-18 14:00,12.59,0.72,3.72,11393963,2308000,0.94,1.05,★,12.58,-0.08,
4,600089,特变电工,2026-09-18,A,-4.33,1.23,1.18,3.5,2026-09-18 14:45,18.13,0.28,3.5,4540240,1161492,1.08,1.06,★,18.13,0.0,
5,601212,白银有色,2026-09-18,A,-5.9,0.0,2.23,3.46,2026-09-18 14:15,6.29,0.8,3.46,31757914,11207800,0.97,1.01,★,6.29,0.0,
6,300058,蓝色光标,2026-09-18,B,-2.05,2.1,1.59,3.45,2026-09-18 14:45,13.12,0.54,3.45,16221627,4610440,1.24,1.16,★,13.15,0.23,
7,300390,天华新能,2026-09-18,B,-2.05,0.0,1.34,3.33,2026-09-18 14:00,53.73,1.02,3.33,3636390,907500,1.17,1.12,★,54.2,0.87,
8,300033,同花顺,2026-09-18,B,-2.88,0.0,1.7,3.3,2026-09-18 14:45,206.81,0.42,3.3,686810,202529,1.02,1.0,★,207.2,0.19,
9,601888,中国中免,2026-09-18,B,-1.01,1.11,1.75,3.03,2026-09-18 13:30,51.76,0.33,3.03,1310013,577059,0.95,1.36,★,52.0,0.46,
10,600115,中国东航,2026-09-18,B,-1.76,2.09,2.18,2.85,2026-09-18 14:00,3.41,0.29,2.85,13804800,3379000,1.4,1.89,★★,3.41,0.0,
11,300757,罗博特科,2026-09-18,A,-3.5,2.38,2.45,2.82,2026-09-18 11:00,618.6,1.45,2.82,904800,283406,1.09,1.61,★,620.6,0.32,
12,002179,中航光电,2026-09-18,B,-1.25,2.1,1.5,2.81,2026-09-18 13:30,35.45,0.94,2.81,2062100,884900,1.27,1.42,★,35.52,0.2,
13,000651,格力电器,2026-09-18,B,-1.96,1.47,1.72,2.59,2026-09-18 13:30,38.55,0.34,2.59,2879700,1391700,0.75,1.38,★,38.56,0.03,
14,601698,中国卫通,2026-09-18,B,-2.61,2.89,1.75,2.59,2026-09-18 14:45,24.14,0.17,2.59,1610437,452900,1.57,1.5,★,24.21,0.29,
15,603799,华友钴业,2026-09-18,B,-2.44,1.71,1.6,2.58,2026-09-18 14:45,35.81,0.31,2.58,3932500,1133134,1.23,1.22,★,35.78,-0.08,
16,600601,方正科技,2026-09-18,B,-1.48,-0.75,1.35,2.56,2026-09-18 14:45,14.5,0.28,2.56,13274971,6129793,1.21,1.21,★,14.5,0.0,
17,002980,华盛昌,2026-09-18,A,-8.5,0.0,5.77,2.55,2026-09-18 13:30,124.51,1.64,2.55,2099800,1674500,1.21,1.19,★,128.03,2.83,
18,600115,中国东航,2026-09-18,B,-1.76,1.49,1.58,2.54,2026-09-18 13:30,3.41,0.59,2.54,7364341,3801589,1.18,1.77,★,3.41,0.0,
19,601179,中国西电,2026-09-18,B,-2.11,1.49,1.31,2.44,2026-09-18 14:45,12.22,0.25,2.44,3965780,1791000,1.31,1.26,★,12.23,0.08,
20,002432,九安医疗,2026-09-18,B,-1.61,2.78,1.41,2.44,2026-09-18 14:15,62.09,0.34,2.44,1682500,623620,1.18,1.31,★,62.12,0.05,
21,003040,楚天龙,2026-09-18,A,-9.85,0.0,1.26,2.39,2026-09-18 14:45,16.41,0.55,2.39,3491481,1300700,1.3,1.28,★,16.38,-0.18,
22,002194,武汉凡谷,2026-09-18,A,-5.93,0.0,1.4,2.3,2026-09-18 14:45,11.0,0.18,2.3,2502613,932100,1.06,1.06,★,11.0,0.0,
23,600919,江苏银行,2026-09-18,A,-4.22,0.83,1.54,2.18,2026-09-18 13:30,12.13,0.17,2.18,4913800,2704900,0.74,1.13,★,12.17,0.33,
24,002437,誉衡药业,2026-09-18,B,-1.15,1.17,1.69,2.15,2026-09-18 14:45,3.47,0.0,2.15,11292600,4320312,1.12,1.15,★,3.47,0.0,
25,603228,景旺电子,2026-09-18,A,-6.7,0.52,1.44,2.13,2026-09-18 11:15,104.11,0.11,2.13,2169784,1039800,0.78,1.2,★,104.45,0.33,
26,000977,浪潮信息,2026-09-18,B,-1.03,0.0,2.95,2.02,2026-09-18 11:15,71.85,0.98,2.02,7289508,1859900,0.89,1.1,★,71.88,0.04,
27,300058,蓝色光标,2026-09-18,B,-2.05,1.4,2.29,2.01,2026-09-18 11:15,13.06,0.62,2.01,13776361,4221749,0.66,0.91,★,13.15,0.69,
28,300209,行云科技,2026-09-18,A,-7.11,-0.61,1.48,2.01,2026-09-18 14:15,33.96,0.8,2.01,3163900,1267600,1.47,1.48,★,34.16,0.59,
