code,name,bar,sig,close,ret,max,min,bars,vol_ratio,calm,burst,grade
603011,603011,13:30,25.32,26.33,3.988941548183247,5.134281200631914,-0.11848341232227938,6,2.07,2.08,1.43,A
300666,300666,13:30,235.84,239.25,1.445895522388058,2.0183175033921263,-0.01696065128900612,6,3.59,3.71,1.72,A
002851,麦格米特,13:30,130.73,132.03,0.9944159718503873,1.1244549835538888,-0.8949743746653314,6,5.37,1.87,3.7,A
002655,共达电声,13:30,38.54,38.85,0.8043591074208674,1.7644006227296307,-0.8303061754021803,6,2.51,5.44,0.93,A
300408,三环集团,13:30,114.16,114.92,0.6657323055360942,1.217589348283112,-0.2452697967764551,6,2.21,2.27,1.38,A
300395,菲利华,13:45,92.85,93.35,0.5385029617662898,1.2385568120624726,-0.22617124394183497,5,2.86,1.6,2.29,A
601869,长飞光纤,13:30,398.5,400.51,0.5043914680050166,1.3801756587202008,-0.40652446675031484,6,3.64,3.77,1.69,A
601138,工业富联,13:30,66.28,66.57,0.4375377187688474,0.9052504526252176,-0.16596258298129063,6,3.23,1.16,3.24,B
000988,000988,13:30,101.59,101.91,0.31499163303474076,0.48233093808445204,-0.4528004724874574,6,2.29,2.62,1.47,A
002655,共达电声,14:15,38.75,38.85,0.25806451612903597,1.2129032258064487,-0.28387096774193404,3,2.99,3.84,1.14,A
600227,赤天化,14:45,4.5,4.51,0.2222222222222175,0.444444444444435,-0.2222222222222175,1,2.35,1.98,1.43,A
301319,301319,13:30,97.12,97.33,0.21622734761119622,0.7516474464579795,-0.3603789126853465,6,2.78,3.42,1.42,A
002384,东山精密,13:30,190.18,190.55,0.19455252918288177,0.5468503522978189,-1.251445998527708,6,3.01,2.23,2.02,A
688300,688300,13:30,175.19,175.5,0.17695073919744408,1.5697242993321536,-0.6221816313716556,6,4.15,3.07,2.03,A
002415,海康威视,14:30,34.83,34.87,0.11484352569623643,0.4593741027849661,-0.08613264427218242,2,2.01,1.87,1.66,B
600246,600246,13:45,12.8,12.81,0.07812499999999833,1.171874999999989,-0.7812500000000111,5,4.06,1.38,3.65,A
688008,澜起科技,13:30,197.68,197.82,0.07082152974503558,0.4653986240388443,-0.4704573047349286,6,2.22,1.81,1.56,A
600549,厦门钨业,14:45,50.27,50.3,0.05967774020289244,0.05967774020289244,-0.09946290033818234,1,2.13,1.44,1.8,A
000792,盐湖股份,13:30,26.27,26.28,0.03806623524933979,0.15226494099733212,-0.4567948229920099,6,2.26,2.38,1.37,A
300613,富瀚微,13:30,72.61,72.63,0.027544415369778297,0.9502823302575372,-0.6886103842445944,6,2.0,1.53,1.49,A
000657,中钨高新,14:45,59.99,60.0,0.016669444907481262,0.0666777796299369,-0.10001666944491126,1,2.39,1.27,2.18,A
600105,永鼎股份,13:30,39.0,38.99,-0.02564102564102054,0.5128205128205201,-0.4358974358974403,6,3.8,3.33,1.98,A
688072,拓荆科技,13:30,652.39,651.92,-0.07204279648676823,0.9948037217002114,-0.5886049755514389,6,2.99,2.03,1.92,A
688388,嘉元科技,14:45,27.76,27.74,-0.07204610951009771,0.14409221902016983,-0.1801152737752187,1,2.1,1.96,1.43,A
301526,国际复材,13:30,27.47,27.45,-0.07280669821623434,0.8008736803786036,-0.4004368401892953,6,2.52,3.01,1.35,A
601138,工业富联,14:45,66.62,66.57,-0.07505253677576008,0.18012608826176874,-0.10507355148605131,1,2.01,2.02,1.31,B
002050,三花智控,14:45,36.53,36.5,-0.08212428141254074,0.027374760470840434,-0.08212428141254074,1,2.34,1.44,1.85,B
688041,海光信息,13:30,242.91,242.71,-0.08233502120126329,1.0662385245564214,-1.0744720266765408,6,2.35,1.65,1.82,A
300657,弘信电子,13:45,35.69,35.66,-0.08405715886803346,0.2801905295601049,-0.42028579434014735,5,2.16,3.98,1.45,A
600397,江钨装备,14:45,17.59,17.57,-0.11370096645821248,0.05685048322911634,-0.17055144968732883,1,2.37,2.31,1.54,A
601136,首创证券,14:45,15.66,15.64,-0.12771392081736638,0.06385696040868319,-0.31928480204342724,1,2.5,1.52,2.02,B
002222,福晶科技,13:30,68.38,68.29,-0.13161743199764436,0.2924831822170267,-0.6873354782100013,6,3.5,3.57,1.73,A
003031,中瓷电子,13:30,120.88,120.72,-0.13236267372600644,0.8024487094639302,-0.5790866975512812,6,2.58,2.03,2.04,A
600498,烽火通信,13:30,39.05,38.99,-0.1536491677336624,0.6145966709347042,-0.48655569782329766,6,2.01,2.71,1.27,A
600246,万通发展,14:30,12.83,12.81,-0.1558846453624285,0.9353078721745848,-0.38971161340608507,2,3.31,5.16,1.28,A
301308,江波龙,13:30,358.78,358.22,-0.15608450861250503,0.20904175260605387,-0.5295724399353301,6,2.29,1.79,1.69,A
300136,信维通信,13:30,57.39,57.29,-0.17424638438752643,0.8538072834988709,-0.34849276877505286,6,2.07,1.23,1.89,A
002185,华天科技,13:45,16.11,16.08,-0.18621973929237207,0.12414649286157402,-0.6207324643078701,5,2.05,1.2,1.9,A
300394,300394,13:30,267.6,267.0,-0.2242152466367798,0.4745889387144924,-0.9379671150971778,6,3.13,3.23,1.58,A
300870,欧陆通,14:45,216.74,216.25,-0.22607732767371463,0.0876626372612336,-0.39217495616869186,1,2.4,1.79,1.73,A
000887,中鼎股份,14:45,21.37,21.32,-0.2339728591483421,0.046794571829658446,-0.37435657463735067,1,2.99,2.57,1.85,A
000021,深科技,13:30,35.38,35.29,-0.25438100621821197,0.5935556811758079,-0.3674392312040773,6,2.68,1.75,1.87,A
605589,圣泉集团,14:45,38.23,38.12,-0.2877321475281178,0.07847240387130824,-0.3662045513994075,1,2.23,1.39,1.77,A
688141,杰华特,14:45,120.87,120.52,-0.2895673037147419,0.14892032762471466,-0.4053942252006362,1,2.48,2.32,1.43,A
600549,厦门钨业,13:30,50.45,50.3,-0.2973240832507546,0.2576808721506352,-0.8523290386521302,6,2.66,1.57,2.14,A
300346,南大光电,13:30,52.1,51.94,-0.30710172744722397,0.40307101727447375,-0.556621880998079,6,2.23,1.52,1.74,A
300870,欧陆通,13:30,217.0,216.25,-0.3456221198156682,0.7741935483870999,-1.5207373271889453,6,2.45,2.97,1.23,A
000725,京东方Ａ,13:30,5.7,5.68,-0.3508771929824642,0.3508771929824486,-1.052631578947377,6,2.41,2.26,1.75,A
002409,雅克科技,13:30,131.49,131.0,-0.37265191269298736,0.38025705376834734,-0.6388318503308262,6,2.14,1.19,2.06,A
002475,立讯精密,13:30,56.15,55.93,-0.3918076580587691,0.44523597506678536,-0.712377560106854,6,3.08,1.87,2.33,A
600641,先导基电,13:30,31.2,31.07,-0.41666666666666347,0.7051282051282128,-0.6089743589743517,6,2.54,2.01,1.53,A
000338,潍柴动力,13:45,27.66,27.54,-0.4338394793926283,0.289226319595077,-0.5784526391901668,5,2.03,1.91,1.99,B
300398,飞凯材料,13:30,33.29,33.11,-0.5407029137879235,0.48062481225594383,-0.6608591168519041,6,2.46,2.35,1.58,A
605358,605358,13:45,43.03,42.79,-0.5577504066930095,0.6274692075296212,-0.7669068092028777,5,4.5,2.7,2.74,A
688981,中芯国际,13:30,124.85,124.12,-0.5847016419703562,0.3604325190228297,-0.6007208650380457,6,2.66,1.96,1.93,A
688195,腾景科技,13:45,205.31,204.0,-0.638059519750622,1.0666796551556172,-1.4173688568506144,5,2.42,1.92,2.19,B
002080,002080,13:45,50.54,50.2,-0.6727344677483108,0.2770083102493086,-0.8310249307479258,5,2.2,1.19,1.97,A
600183,600183,13:45,149.17,148.15,-0.6837836026010471,0.05363008647852283,-1.5619762686867227,5,2.23,1.43,2.61,A
688012,中微公司,13:30,346.44,344.0,-0.7043066620482616,0.43008890428357266,-0.935226879113269,6,2.22,2.52,1.25,A
000711,京蓝科技,14:00,5.65,5.61,-0.707964601769912,0.3539823008849482,-1.415929203539824,4,3.56,1.29,3.42,B
002371,北方华创,13:30,665.67,660.65,-0.7541274204936353,0.32899184280500166,-1.3024471585019544,6,2.52,1.84,1.77,A
301396,宏景科技,13:45,177.29,175.88,-0.795307123921257,0.005640476056190043,-1.2014213999661545,5,2.25,1.43,1.87,A
688141,杰华特,13:30,121.53,120.52,-0.8310705175676829,0.27976631284456793,-1.1519789352423317,6,2.59,3.19,1.28,A
688433,华曙高科,14:45,111.41,110.41,-0.8975854950184005,0.20644466385423568,-1.1219818687730005,1,3.25,3.39,1.74,A
688629,华丰科技,13:30,128.7,127.46,-0.9634809634809597,0.3108003108003152,-1.320901320901312,6,2.53,1.57,2.05,A
688388,嘉元科技,13:45,28.01,27.74,-0.9639414494823387,0.1428061406640455,-1.0710460549803666,5,2.24,1.39,2.27,A
688836,宇树科技,13:45,541.96,536.35,-1.035131744040153,0.007380618495823237,-1.4908849361576575,5,2.92,1.42,2.64,A
002636,金安国纪,13:45,68.81,68.05,-1.1044906263624548,0.029065542799005986,-1.3806132829530633,5,2.25,1.45,1.84,A
002552,宝鼎科技,13:45,48.68,48.01,-1.3763352506162732,0.34921939194741514,-1.7050123253903007,5,2.66,1.54,2.64,A
300131,英唐智控,13:45,16.13,15.86,-1.673899566026036,0.18598884066956686,-2.0458772473651474,5,4.26,1.66,4.44,A
001232,嘉立创,10:45,171.03,167.91,-1.8242413611647108,0.04092849207740933,-2.2919955563351384,11,3.43,4.02,1.47,A
